N,d,K,max_iter,runs,seed,P,serial_time_mean,serial_time_std,mpi_time_mean,mpi_time_std,speedup,efficiency,cost
100000,16,8,20,5,42,1,47.5265,3.5652,46.7457,1.6140,1.0167,1.0167,46.7457
100000,16,8,20,5,42,2,47.5265,3.5652,25.2020,.1679,1.8858,.9429,50.4040
100000,16,8,20,5,42,4,47.5265,3.5652,15.8337,.4671,3.0016,.7504,63.3348
100000,16,8,20,5,42,8,47.5265,3.5652,21.2112,.5974,2.2406,.2800,169.6896
500000,16,8,20,5,42,1,231.1048,.9327,239.8406,5.7670,.9635,.9635,239.8406
500000,16,8,20,5,42,2,231.1048,.9327,128.2792,.7594,1.8015,.9007,256.5584
500000,16,8,20,5,42,4,231.1048,.9327,80.9648,4.6915,2.8543,.7135,323.8592
500000,16,8,20,5,42,8,231.1048,.9327,94.8925,2.2753,2.4354,.3044,759.1400
1000000,16,8,20,5,42,1,477.2084,3.2172,485.5940,4.3720,.9827,.9827,485.5940
1000000,16,8,20,5,42,2,477.2084,3.2172,257.6674,1.4816,1.8520,.9260,515.3348
1000000,16,8,20,5,42,4,477.2084,3.2172,153.5206,1.5031,3.1084,.7771,614.0824
1000000,16,8,20,5,42,8,477.2084,3.2172,170.9820,4.0760,2.7909,.3488,1367.8560
2000000,16,8,20,5,42,1,979.2540,8.4374,992.2346,6.6949,.9869,.9869,992.2346
2000000,16,8,20,5,42,2,979.2540,8.4374,514.3012,3.4809,1.9040,.9520,1028.6024
2000000,16,8,20,5,42,4,979.2540,8.4374,306.7306,1.5637,3.1925,.7981,1226.9224
2000000,16,8,20,5,42,8,979.2540,8.4374,323.4794,11.7485,3.0272,.3784,2587.8352
